Date,Open,High,Low,Close,Adj Close,Volume,Open_Direction,High_Direction,Low_Direction,Close_Direction,Adj Close_Direction
2016/5/2,23.49250031,23.52000046,23.10000038,23.40999985,21.4006443,192640400,down,down,down,down,down
2016/5/3,23.54999924,23.93499947,23.42000008,23.79500008,21.75259399,227325200,up,up,up,up,up
2016/5/4,23.79999924,23.97500038,23.45499992,23.54750061,21.52633286,164102000,up,up,up,down,down
2016/5/5,23.5,23.51749992,23.17000008,23.30999947,21.43896103,143562000,down,down,down,down,down
2016/5/6,23.34250069,23.36249924,22.96249962,23.18000031,21.31939316,174799600,down,down,down,down,down
2016/5/9,23.25,23.44249916,23.14749908,23.19750023,21.33549118,131745600,down,up,up,up,up
2016/5/10,23.33250046,23.39249992,23.02750015,23.35499954,21.48034477,134747200,up,down,down,up,up
2016/5/11,23.37000084,23.39249992,23.11499977,23.12750053,21.27110863,114876400,up,up,up,down,down
2016/5/12,23.18000031,23.19499969,22.36750031,22.58499908,20.77215767,305258800,down,down,down,down,down
2016/5/13,22.5,22.91749954,22.5,22.62999916,20.81354523,177571200,down,down,up,up,up
2016/5/16,23.09749985,23.59749985,22.91250038,23.46999931,21.58611488,245039200,up,up,up,up,up
2016/5/17,23.63750076,23.67499924,23.25250053,23.37249947,21.49644279,187667600,up,up,up,down,down
2016/5/18,23.54000092,23.80249977,23.47249985,23.63999939,21.74247169,168249600,down,up,up,up,up
2016/5/19,23.65999985,23.65999985,23.39249992,23.54999924,21.65969658,121768400,up,down,down,down,down
2016/5/20,23.65999985,23.85750008,23.62999916,23.80500031,21.89423561,128104000,up,up,up,up,up
2016/5/23,23.96750069,24.29750061,23.91749954,24.10750008,22.1724472,152074400,up,up,up,up,up
2016/5/24,24.30500031,24.52249908,24.20999908,24.47500038,22.51045036,140560800,up,up,up,up,up
2016/5/25,24.66749954,24.93499947,24.52750015,24.90500069,22.9059391,152675200,up,up,up,up,up
2016/5/26,24.92000008,25.18250084,24.65999985,25.10250092,23.08758926,225324800,up,up,up,up,up
2016/5/27,24.86000061,25.11750031,24.8125,25.08749962,23.07378387,145364800,down,down,up,down,down
2016/5/31,24.89999962,25.10000038,24.70499992,24.96500015,22.96112251,169228800,up,down,down,down,down
2016/6/1,24.75499916,24.88500023,24.58250046,24.61499977,22.63920784,116693200,down,down,down,down,down
2016/6/2,24.39999962,24.45999908,24.15749931,24.43000031,22.4690609,160766400,down,down,down,down,down
2016/6/3,24.44750023,24.56749916,24.36249924,24.47999954,22.51504326,114019600,up,up,up,up,up
2016/6/6,24.49749947,25.47249985,24.38750076,24.65749931,22.67829514,93170000,up,up,up,up,up
2016/6/7,24.8125,24.96750069,24.73999977,24.75749969,22.77027893,89638000,up,down,up,up,up
2016/6/8,24.75499916,24.88999939,24.67000008,24.73500061,22.74957848,83392400,down,down,down,down,down
2016/6/9,24.625,24.99749947,24.61499977,24.91250038,22.91283417,106405600,down,up,down,up,up
2016/6/10,24.63249969,24.83749962,24.62000084,24.70750046,22.72429085,126851600,up,down,up,down,down
2016/6/13,24.67250061,24.78000069,24.27499962,24.33499908,22.38168716,152082000,up,down,down,down,down
2016/6/14,24.32999992,24.62000084,24.1875,24.36499977,22.40928078,127727600,down,down,down,up,up
2016/6/15,24.45499992,24.60250092,24.25749969,24.28499985,22.33569717,117780800,up,down,up,down,down
2016/6/16,24.11249924,24.4375,24.01749992,24.38750076,22.42997551,125307200,down,down,down,up,up
2016/6/17,24.15500069,24.16250038,23.82500076,23.83250046,21.91951942,244032800,up,down,down,down,down
2016/6/20,24,24.14249992,23.75749969,23.77499962,21.86663437,137647600,down,down,down,down,down
2016/6/21,23.73500061,24.08749962,23.67000008,23.97750092,22.05288315,142185600,down,down,down,up,up
2016/6/22,24.0625,24.22249985,23.83749962,23.88750076,21.97010803,116876400,up,up,up,down,down
2016/6/23,23.98500061,24.07250023,23.8125,24.02499962,22.09657097,128960800,down,down,down,up,up
2016/6/24,23.22750092,23.66500092,23.16250038,23.35000038,21.47575569,301245600,down,down,down,down,down
2016/6/27,23.25,23.26250076,22.875,23.01000023,21.16304779,181958400,up,down,down,down,down
2016/6/28,23.22500038,23.41500092,23.03499985,23.39749908,21.5194416,161779600,down,up,up,up,up
2016/6/29,23.49250031,23.63750076,23.40749931,23.60000038,21.70568848,146124000,up,up,up,up,up
2016/6/30,23.61000061,23.94249916,23.57500076,23.89999962,21.98160172,143345600,up,up,up,up,up
2016/7/1,23.87249947,24.11750031,23.83250046,23.97249985,22.04828453,104106000,up,up,up,up,up
2016/7/5,23.84749985,23.85000038,23.61499977,23.74749947,21.84134483,110820800,down,down,down,down,down
2016/7/6,23.64999962,23.91500092,23.59250069,23.88249969,21.96550941,123796400,down,up,down,up,up
2016/7/7,23.92499924,24.125,23.90500069,23.98500061,22.05977631,100558400,up,up,up,up,up
2016/7/8,24.12249947,24.22249985,24.01250076,24.17000008,22.22993469,115648400,up,up,up,up,up
2016/7/11,24.1875,24.41250038,24.18250084,24.24500084,22.29891777,95179600,up,up,up,up,up
2016/7/12,24.29249954,24.42499924,24.28000069,24.35499954,22.40008163,96670000,up,up,up,up,up
2016/7/13,24.35250092,24.41749954,24.20999908,24.21750069,22.27361488,103568800,up,down,down,down,down
2016/7/14,24.34749985,24.74749947,24.32999992,24.69750023,22.71509552,155676000,down,up,up,up,up
2016/7/15,24.72999954,24.82500076,24.625,24.69499969,22.71278763,120548000,up,up,up,down,down
2016/7/18,24.67499924,25.03249931,24.64999962,24.95750046,22.95422173,145975600,down,up,up,up,up
2016/7/19,24.88999939,25,24.83499908,24.96750069,22.96341896,95119600,up,down,up,up,up
2016/7/20,25,25.11499977,24.93499947,24.98999977,22.98411179,105104000,up,up,up,up,up
2016/7/21,24.95750046,25.25,24.78249931,24.85750008,22.86224747,130808000,down,up,down,down,down
2016/7/22,24.81500053,24.82500076,24.57749939,24.66500092,22.68520546,113254800,down,down,down,down,down
2016/7/25,24.5625,24.70999908,24.22999954,24.33499908,22.38168716,161531600,down,down,down,down,down
2016/7/26,24.20499992,24.49250031,24.10499954,24.16749954,22.22762871,224959200,down,down,down,down,down
2016/7/27,26.06749916,26.08749962,25.6875,25.73749924,23.67160988,369379200,up,up,up,up,up
2016/7/28,25.70750046,26.11249924,25.70499992,26.08499908,23.99122238,159479200,down,up,up,up,up
2016/7/29,26.04750061,26.13750076,25.92000008,26.05249977,23.96132469,110934800,up,up,up,down,down
2016/8/1,26.10250092,26.53750038,26.10250092,26.51250076,24.38440323,152671600,up,up,up,up,up
2016/8/2,26.51250076,26.51749992,26,26.12000084,24.02340889,135266400,up,down,down,down,down
2016/8/3,26.20249939,26.45999908,26.19249916,26.44750023,24.3246212,120810400,down,down,up,up,up
